gid,visteam,hometeam,date,attendance,gametype,season
PHG190309120,CUX,PHG,1903-09-12,3887,championship,1903
CUX190309131,PHG,CUX,1903-09-13,3000,championship,1903
PHG190309132,CUX,PHG,1903-09-13,8000,championship,1903
CUX190309140,PHG,CUX,1903-09-14,2500,championship,1903
PHG190309150,CUX,PHG,1903-09-15,3000,championship,1903
CUX190309180,PHG,CUX,1903-09-18,0,championship,1903
PHG190309250,CUX,PHG,1903-09-25,0,championship,1903
CUX190409010,PHG,CUX,1904-09-01,4000,championship,1904
CUX190409020,PHG,CUX,1904-09-02,3000,championship,1904
CUX190409030,PHG,CUX,1904-09-03,5000,championship,1904
NYL191208240,CUW,NYL,1912-08-24,4000,exhibition,1912
NYL191307201,CAG,NYL,1913-07-20,0,championship,1913
NYL191307202,CAG,NYL,1913-07-20,4500,championship,1913
CAG191307270,NYL,CAG,1913-07-27,8500,championship,1913
CAG191307280,NYL,CAG,1913-07-28,5000,championship,1913
CAG191307290,NYL,CAG,1913-07-29,1500,championship,1913
CAG191307300,NYL,CAG,1913-07-30,6000,championship,1913
CAG191307310,NYL,CAG,1913-07-31,0,championship,1913
CAG191308022,NYL,CAG,1913-08-02,0,championship,1913
CUW191308021,NYL,CUW,1913-08-02,0,exhibition,1913
CAG191308090,NYL,CAG,1913-08-09,0,championship,1913
CAG191308121,NYL,CAG,1913-08-12,0,championship,1913
CAG191308122,NYL,CAG,1913-08-12,0,championship,1913
CAG191308130,NYL,CAG,1913-08-13,0,championship,1913
CAG191608270,IN4,CAG,1916-08-27,0,exhibition,1916
CAG191608280,IN4,CAG,1916-08-28,0,exhibition,1916
NYL192007111,ACY,NYL,1920-07-11,16000,exhibition,1920
KCM192008010,CAG,KCM,1920-08-01,15000,regular,1920
ACY192008291,NYL,ACY,1920-08-29,10000,exhibition,1920
ACY192008292,NYL,ACY,1920-08-29,10000,exhibition,1920
SLG192010040,SLN,SLG,1920-10-04,0,exhibition,1920
SLG192010050,SLN,SLG,1920-10-05,0,exhibition,1920
CB1192104300,CG1,CB1,1921-04-30,3000,regular,1921
CB1192105010,CG1,CB1,1921-05-01,4000,regular,1921
CAG192105070,KCM,CAG,1921-05-07,0,regular,1921
DT1192105070,ACY,DT1,1921-05-07,0,exhibition,1921
CAG192105080,KCM,CAG,1921-05-08,0,regular,1921
CAG192105090,KCM,CAG,1921-05-09,0,regular,1921
IN4192105090,CB1,IN4,1921-05-09,0,regular,1921
CNN192105220,CG1,CNN,1921-05-22,5000,regular,1921
DT1192106060,CNN,DT1,1921-06-06,0,regular,1921
KCM192106120,CNN,KCM,1921-06-12,9000,regular,1921
CAG192106130,IN4,CAG,1921-06-13,0,regular,1921
CAG192106190,CG1,CAG,1921-06-19,0,regular,1921
SLG192106290,CB1,SLG,1921-06-29,0,regular,1921
ACY192107031,HIL,ACY,1921-07-03,0,exhibition,1921
CB1192107090,DT1,CB1,1921-07-09,0,regular,1921
CAG192107101,SLG,CAG,1921-07-10,0,regular,1921
CAG192107102,SLG,CAG,1921-07-10,0,regular,1921
STA192107160,CAG,STA,1921-07-16,0,exhibition,1921
ACY192107310,IN4,ACY,1921-07-31,15000,exhibition,1921
SLG192110030,SLN,SLG,1921-10-03,0,exhibition,1921
HIL192110040,CAG,HIL,1921-10-04,0,championship,1921
SLG192110040,SLN,SLG,1921-10-04,0,exhibition,1921
HIL192110050,CAG,HIL,1921-10-05,0,championship,1921
SLG192110091,SLN,SLG,1921-10-09,0,exhibition,1921
SLG192110092,SLN,SLG,1921-10-09,0,exhibition,1921
CAG192110100,HIL,CAG,1921-10-10,3500,championship,1921
HIL192110120,CAG,HIL,1921-10-12,0,championship,1921
HIL192110130,CAG,HIL,1921-10-13,0,championship,1921
HIL192110150,CAG,HIL,1921-10-15,5000,championship,1921
IN4192207260,NBG,IN4,1922-07-26,0,exhibition,1922
CAG192208160,ACY,CAG,1922-08-16,0,exhibition,1922
CAG192405180,CUW,CAG,1924-05-18,0,regular,1924
BLS192408031,BRG,BLS,1924-08-03,0,regular,1924
BLS192408032,BRG,BLS,1924-08-03,0,regular,1924
HIL192410030,KCM,HIL,1924-10-03,5366,championship,1924
HIL192410040,KCM,HIL,1924-10-04,8661,championship,1924
HIL192410050,KCM,HIL,1924-10-05,5503,championship,1924
HIL192410060,KCM,HIL,1924-10-06,584,championship,1924
KCM192410110,HIL,KCM,1924-10-11,3891,championship,1924
KCM192410120,HIL,KCM,1924-10-12,8885,championship,1924
KCM192410140,HIL,KCM,1924-10-14,2539,championship,1924
KCM192410180,HIL,KCM,1924-10-18,2608,championship,1924
KCM192410190,HIL,KCM,1924-10-19,6271,championship,1924
KCM192410200,HIL,KCM,1924-10-20,1549,championship,1924
BLS192505031,CUE,BLS,1925-05-03,10000,regular,1925
KCM192508110,SSN,KCM,1925-08-11,3500,regular,1925
SSN192509190,KCM,SSN,1925-09-19,3000,lcs,1925
SSN192509200,KCM,SSN,1925-09-20,0,lcs,1925
SSN192509230,KCM,SSN,1925-09-23,0,lcs,1925
KCM192509260,SSN,KCM,1925-09-26,0,lcs,1925
KCM192509270,SSN,KCM,1925-09-27,0,lcs,1925
KCM192509281,SSN,KCM,1925-09-28,0,lcs,1925
KCM192509282,SSN,KCM,1925-09-28,0,lcs,1925
KCM192510010,HIL,KCM,1925-10-01,2065,championship,1925
KCM192510020,HIL,KCM,1925-10-02,1519,championship,1925
KCM192510030,HIL,KCM,1925-10-03,1880,championship,1925
KCM192510040,HIL,KCM,1925-10-04,7208,championship,1925
HIL192510080,KCM,HIL,1925-10-08,4049,championship,1925
HIL192510100,KCM,HIL,1925-10-10,1121,championship,1925
NYL192510180,BXG,NYL,1925-10-18,6000,exhibition,1925
PRG192510240,PIR,PRG,1925-10-24,0,exhibition,1925
PRG192510250,PIR,PRG,1925-10-25,5500,exhibition,1925
PRG192510310,PIR,PRG,1925-10-31,0,exhibition,1925
PRG192511010,PIR,PRG,1925-11-01,6000,exhibition,1925
PRG192511070,WHK,PRG,1925-11-07,0,exhibition,1925
PRG192511080,WHK,PRG,1925-11-08,0,exhibition,1925
PRG192511140,PIR,PRG,1925-11-14,0,exhibition,1925
PRG192511150,PIR,PRG,1925-11-15,0,exhibition,1925
PRG192511260,WHK,PRG,1925-11-26,0,exhibition,1925
PRG192511280,PIR,PRG,1925-11-28,0,exhibition,1925
PRG192511290,PIR,PRG,1925-11-29,0,exhibition,1925
PRG192512050,WHK,PRG,1925-12-05,0,exhibition,1925
PRG192512060,WHK,PRG,1925-12-06,0,exhibition,1925
PRG192512120,PIR,PRG,1925-12-12,0,exhibition,1925
PRG192512130,PIR,PRG,1925-12-13,0,exhibition,1925
PRG192512200,WHK,PRG,1925-12-20,0,exhibition,1925
PRG192512250,PIR,PRG,1925-12-25,0,exhibition,1925
PRG192512260,PIR,PRG,1925-12-26,0,exhibition,1925
PRG192512270,PIR,PRG,1925-12-27,0,exhibition,1925
PRG192601010,WHK,PRG,1926-01-01,0,exhibition,1925
PRG192601020,WHK,PRG,1926-01-02,0,exhibition,1925
PRG192601030,WHK,PRG,1926-01-03,0,exhibition,1925
PRG192601160,PIR,PRG,1926-01-16,0,exhibition,1925
PRG192601170,PIR,PRG,1926-01-17,0,exhibition,1925
KCM192609180,CAG,KCM,1926-09-18,1600,lcs,1926
KCM192609190,CAG,KCM,1926-09-19,5000,lcs,1926
KCM192609200,CAG,KCM,1926-09-20,0,lcs,1926
KCM192609210,CAG,KCM,1926-09-21,0,lcs,1926
CAG192609250,KCM,CAG,1926-09-25,0,lcs,1926
CAG192609260,KCM,CAG,1926-09-26,0,lcs,1926
CAG192609280,KCM,CAG,1926-09-28,0,lcs,1926
CAG192609291,KCM,CAG,1926-09-29,0,lcs,1926
ACY192610010,CAG,ACY,1926-10-01,3158,championship,1926
