Year,Tms,G,Time,Time/9I,Inn,Inn%,R/G,PA/G,Pitches/PA,Batters/G,Pitchers/G,PH/G,PR/G,Batters/S,Pitchers/S,Attendance,Attend/G,Lg Payroll*,Payroll/Tm*
1961,18,1430,2:37,2:34,123,8.6,9.05,76.6,,10.3,2.44,1.41,0.28,26.4,15.6,18894518,13212,,
1960,16,1236,2:38,2:33,140,11.33,8.63,76.7,,10.6,2.45,1.56,0.32,26.4,16.1,19911489,16109,,
1959,16,1238,2:34,2:31,115,9.29,8.77,76.5,,10.4,2.39,1.44,0.3,25.1,16.6,19143979,15463,,
1958,16,1235,2:31,2:28,110,8.91,8.57,76.2,,10.5,2.44,1.49,0.3,25.4,17.6,17460630,14138,,
1957,16,1235,2:33,2:28,162,13.12,8.61,77.2,,10.4,2.43,1.43,0.32,24.8,16.8,17015819,13777,,
1956,16,1239,2:32,2:28,122,9.85,8.9,76.9,,10.3,2.39,1.39,0.32,25.3,16.9,16543250,13352,,
1955,16,1234,2:31,2:28,112,9.08,8.97,77,,10.2,2.41,1.36,0.26,26.2,17.5,16617383,13466,,
1954,16,1237,2:30,2:26,125,10.11,8.75,77.2,,10.1,2.26,1.28,0.27,23.9,15.1,15935883,12882,,
1953,16,1240,2:26,2:23,100,8.06,9.21,76.9,,10,2.26,1.22,0.27,24.4,15.1,14383797,11599,,
1952,16,1239,2:25,2:21,125,10.09,8.35,76.5,,9.9,2.12,1.12,0.23,26.2,16.3,14633044,11810,,
1951,16,1239,2:23,2:19,118,9.52,9.09,77.5,,9.9,2.15,1.16,0.26,25.4,15.4,16126676,13015,,
1950,16,1238,2:21,2:19,98,7.92,9.7,77.9,,9.8,2.12,1.08,0.22,23.4,15.6,17462977,14105,,
1949,16,1240,2:19,2:16,117,9.44,9.21,77.6,,9.8,2.14,1.14,0.21,24.1,14.1,20215365,16302,,
1948,16,1237,2:15,2:13,88,7.11,9.16,77.5,,9.8,2.23,1.18,0.22,23.1,15.6,20920842,16912,,
1947,16,1243,2:11,2:09,93,7.48,8.71,76.7,,9.6,2.13,1.08,0.19,22.9,15.6,19874539,15989,,
1946,16,1242,2:08,2:05,110,8.86,8.01,76.6,,9.8,2.09,1.16,0.21,26.3,18.3,18523289,14914,,
1945,16,1230,2:03,2:00,119,9.67,8.36,77.1,,9.5,1.89,0.97,0.16,23.9,15.6,10841123,8813,,
1944,16,1242,2:01,1:58,141,11.35,8.34,77,,9.5,1.89,0.94,0.17,24.2,14.6,8772746,7063,,
