Year,Tms,G,Attendance,Attend/G,Lg Payroll*,Payroll/Tm*
1961,18,1430,18894518,13212,,
1960,16,1236,19911489,16109,,
1959,16,1238,19143979,15463,,
1958,16,1235,17460630,14138,,
1957,16,1235,17015819,13777,,
1956,16,1239,16543250,13352,,
1955,16,1234,16617383,13466,,
1954,16,1237,15935883,12882,,
1953,16,1240,14383797,11599,,
1952,16,1239,14633044,11810,,
1951,16,1239,16126676,13015,,
1950,16,1238,17462977,14105,,
1949,16,1240,20215365,16302,,
1948,16,1237,20920842,16912,,
1947,16,1243,19874539,15989,,
1946,16,1242,18523289,14914,,
1945,16,1230,10841123,8813,,
1944,16,1242,8772746,7063,,
1943,16,1238,7465911,6030,,
1942,16,1224,8553569,6988,,
1941,16,1244,9689603,7789,,
1940,16,1236,9823484,7947,,
1939,16,1231,8977779,7293,"$2,883,241 ","$180,202 "
1938,16,1223,9006511,7364,,
1937,16,1239,8940063,7215,,
1936,16,1238,8082613,6528,,
1935,16,1228,7345316,5981,,
1934,16,1223,6963711,5693,,
1933,16,1226,6089031,4966,,
1932,16,1233,6974566,5656,,
1931,16,1236,8467107,6850,,
1930,16,1234,10132262,8210,"$3,034,664 ","$189,666 "
1929,16,1229,9588183,7801,"$2,996,138 ","$187,258 "
1928,16,1231,9102285,7394,"$2,926,742 ","$182,921 "
1927,16,1236,9922868,8028,"$2,909,330 ","$181,833 "
1926,16,1234,9832982,7968,"$2,783,263 ","$173,953 "
1925,16,1228,9540555,7769,"$2,542,925 ","$158,932 "
1924,16,1231,9596083,7795,"$2,380,258 ","$148,766 "
1923,16,1233,8672406,7033,"$2,139,899 ","$133,743 "
1922,16,1238,8816175,7121,"$2,009,894 ","$125,618 "
1921,16,1229,8607312,7003,"$1,683,474 ","$105,217 "
1920,16,1234,9120875,7391,"$1,540,084 ","$96,255 "
1919,16,1118,6532439,5842,,
1918,16,1016,3080126,3031,,
1917,16,1247,5219994,4186,,
1916,16,1247,6503519,5215,"$1,189,829 ","$74,364 "
1915,16,1245,4864826,3907,,
1914,16,1256,4454988,3546,,
1913,16,1234,6358336,5152,"$950,191 ","$59,386 "
1912,16,1232,5999390,4869,,
1911,16,1237,6571282,5312,,
1910,16,1249,6206447,4969,,
1909,16,1241,7236290,5831,,
1908,16,1244,7123474,5726,,
1907,16,1233,6038984,4897,,
1906,16,1228,5719289,4657,,
1905,16,1237,5855062,4733,,
1904,16,1249,5688299,4554,,
1903,16,1114,4735250,4250,,
